,0,1,2,3,4,5,6,7,8,9,cluster
No. 1_L_1.5 _200 _02-18-2025/0068.png,15.170720595657029,2.373918537832408,-4.992106068247315,-2.581894848500858,-1.338135940195464,0.5628791481686335,-4.550837202155362,1.0713474680506527,-1.2588682044251531,-1.4183293110895772,10
No. 1_L_1.5 _200 _02-18-2025/0069.png,15.142135687545416,2.388410530532699,-5.010165429349035,-2.621954910519356,-1.5796918911485198,0.5433352416702837,-4.47375033158249,1.0881263041404994,-1.2540825806126967,-1.5342500140527229,10
No. 1_L_1.5 _200 _02-18-2025/0070.png,15.117111441676697,2.343587526291895,-4.985820472782148,-2.711440163644523,-1.3444190351553065,0.7084905965301997,-4.467300841421075,0.976375696210794,-1.1660553024819047,-1.6216615551926157,10
No. 1_L_1.5 _200 _02-18-2025/0071.png,15.100223348084024,2.353982855415424,-5.0417835890653615,-2.605361601557326,-1.1694976680925846,0.5470665532947674,-4.53003927661427,1.0197528827040516,-1.1906487268078008,-1.4126298305194331,10
No. 1_L_1.5 _200 _02-18-2025/0072.png,15.191195514996156,2.3348780047249296,-4.920540807267529,-2.781567656848308,-1.2527195621653815,0.4940640873616111,-4.480234330441752,0.921363772777199,-1.3145417687102785,-1.4516490088404048,10
No. 1_L_1.5 _200 _02-18-2025/0073.png,15.124321838585132,2.307602634141313,-4.873796496568503,-2.7008562659313644,-1.2805823893064492,0.7080169739703939,-4.298421696487315,0.8300006495053589,-1.1781038595639972,-1.634368575533406,10
No. 1_L_1.5 _200 _02-18-2025/0074.png,15.130292433997797,2.335333524319692,-4.953193823659018,-2.560042238600324,-1.3180912599314285,0.618290577222715,-4.503495268969797,0.9922190424607278,-1.208350716570863,-1.542789173449101,10
No. 1_L_1.5 _200 _02-18-2025/0075.png,15.138488901648284,2.3290755442165434,-4.845481244702938,-2.8608166401834363,-1.342660726563853,0.696358851108946,-4.520053916405798,0.9380587864671516,-1.2148161228907342,-1.6871069716015057,10
No. 1_L_1.5 _200 _02-18-2025/0076.png,15.114069510185889,2.332440458945048,-5.04070477733045,-2.8020851542545038,-1.3118843318276996,0.6509712331035775,-4.427007143653899,0.925535646896038,-1.1618955929288732,-1.4768944640697852,10
No. 1_L_1.5 _200 _02-18-2025/0077.png,15.15655507510223,2.360796519790618,-4.9884049457070745,-2.5464578835602936,-1.3422089903462435,0.5160910365840152,-4.556967474897277,0.995190299054614,-1.2317388129225673,-1.3738203502580717,10
