,0,1,2,3,4,5,6,7,8,9
No. 1_L_1.5 _200 _02-18-2025/0022.png,-3.181217878373304,3.5191163845622655,-1.208805942326519,-2.946324154832313,-1.3251774293402243,4.3019866644464635,1.9499615976149165,1.4428280019846245,-1.0374600744838067,-1.2302157679951846
No. 1_L_1.5 _200 _02-18-2025/0023.png,-3.0136736214577233,3.49186565395767,-1.1761291935130167,-3.084042674110197,-1.587166276048832,4.23409698408881,1.925110463344311,1.5321231526406525,-1.049062050247348,-1.1615218179425395
No. 1_L_1.5 _200 _02-18-2025/0024.png,-2.994090823385923,3.5406095842408867,-1.2588042737001857,-2.9539989396420117,-1.7304324778047175,4.36691924977138,2.075271477422873,1.5036920228938548,-1.1663475730320487,-0.9747959979569503
No. 1_L_1.5 _200 _02-18-2025/0025.png,-3.120671573333028,3.635055386707987,-1.1979945635441602,-3.032017842410559,-1.6932852309564992,4.5426429213824235,1.9543984236006573,1.6063071972741092,-1.1223563316354255,-1.1393490142712976
No. 1_L_1.5 _200 _02-18-2025/0026.png,-3.1798759804416648,3.7466292037315196,-1.2378732150062195,-2.9868518006297418,-1.645561246557293,4.446747409150916,1.944346927076592,1.4849006925401547,-1.1616762568449464,-1.0893885138207828
No. 1_L_1.5 _200 _02-18-2025/0027.png,-2.967023600657945,3.7490096620879343,-1.1298556755063451,-2.9998450400506727,-1.5185522651974321,4.105280910515578,1.8793071271227013,1.470659844319961,-1.1062206062148865,-1.108738373147041
No. 1_L_1.5 _200 _02-18-2025/0028.png,-3.0225671684622153,3.595859793831474,-1.0840711873169138,-3.168732014439821,-1.526049144991084,4.313374743880949,1.9773843967901794,1.46902150098534,-1.0933274205424908,-1.1219036030850695
No. 1_L_1.5 _200 _02-18-2025/0029.png,-3.2063517631925587,3.7495612245571035,-1.0657255561870276,-2.9327480423473675,-1.5574409684634873,4.262017376244589,1.9934160491995658,1.5842754126785241,-1.082182693706278,-1.0911741349567396
No. 1_L_1.5 _200 _02-18-2025/0030.png,-3.1669864632047293,3.51283434791051,-0.9950743062113823,-3.027848187447715,-1.5511432587781386,4.30591689687421,1.8793909919859781,1.5403745721365762,-1.0358697268078678,-1.225922603644293
No. 1_L_1.5 _200 _02-18-2025/0031.png,-3.2381558469867544,3.6136004377940742,-1.22169489779942,-2.9062607776214007,-1.4806251531955605,4.362801488252195,1.8295451187248042,1.670313272140504,-1.0610851829525239,-1.195085866160813
No. 1_L_1.5 _200 _02-18-2025/0032.png,-3.252425975312649,3.6921680733730415,-1.0432736724988363,-2.9158825611785613,-1.5074798496236785,4.235706877650044,1.8923481807551015,1.501332330632133,-1.0394655637588783,-1.209584000621485
No. 1_L_1.5 _200 _02-18-2025/0033.png,-3.168150848097743,3.6357357838309454,-1.1591618648481514,-2.89744211877038,-1.589191631686513,4.332456786643505,1.991934117359987,1.5176705754197748,-1.0540315147249901,-1.0885359348797734
No. 1_L_1.5 _200 _02-18-2025/0034.png,-3.3689369883242684,3.785357353041727,-1.1130322007319382,-2.8290292577360416,-1.469309563664074,4.409320438369415,1.8710759991236319,1.5277654385890607,-1.1297237182131352,-1.1509712967034313
No. 1_L_1.5 _200 _02-18-2025/0035.png,-3.085640670700454,3.715150195321087,-1.226975050133829,-3.0449174013598546,-1.512759418189734,4.5348817916927615,2.0629476052393056,1.4775113406728888,-1.145819459618788,-1.1309454028589676
No. 1_L_1.5 _200 _02-18-2025/0036.png,-3.1582374825026136,3.7939080287956735,-1.244812626563542,-2.9002126811079885,-1.5870442735859709,4.377809099656963,2.0200064575867462,1.5925077491447546,-1.110960769296691,-1.0946602615127934
No. 1_L_1.5 _200 _02-18-2025/0037.png,-3.0597319531279146,3.696212808894657,-1.3469415097729307,-3.031384193719756,-1.6663864501294428,4.373809075039375,1.9884063767104287,1.5623158918760627,-1.1144388129261389,-0.975591439766883
No. 1_L_1.5 _200 _02-18-2025/0038.png,-3.015179284844521,3.5937364236442697,-1.0745141216278782,-2.9521805502015193,-1.4622154467109048,4.393602254879566,1.9585044303486077,1.5601554736926975,-1.0296500048357247,-1.235757972428699
No. 1_L_1.5 _200 _02-18-2025/0039.png,-3.1611704334021278,3.6450371483516166,-1.1285847546042973,-2.9994800467045186,-1.4541652177231543,4.2470129638115885,1.85217497631909,1.4933203319794863,-1.1210003089826166,-1.2307155352218433
No. 1_L_1.5 _200 _02-18-2025/0040.png,-3.1918329633958056,3.636415643998256,-1.0561194248673615,-3.0155264533005512,-1.404950977990421,4.401678834011122,1.9732736651022105,1.5364479687217685,-1.107396830834573,-1.106386046218136
No. 1_L_1.5 _200 _02-18-2025/0041.png,-2.9230858208216963,3.6497376799033328,-1.2763123169226809,-3.113553386851092,-1.6681636004833975,4.423251961126043,1.9581744704057016,1.632266213093061,-1.1659492129924212,-1.0332237250180838
No. 1_L_1.5 _200 _02-18-2025/0042.png,-3.1507228315933276,3.630717323185336,-1.0917850340866817,-3.05958064368071,-1.481447142301057,4.326185108293664,1.9165633692951383,1.539589812190009,-1.0662534262254229,-1.2135247197040386
No. 1_L_1.5 _200 _02-18-2025/0043.png,-3.3059408371052426,3.7225676232977527,-1.0512113804215524,-2.9204175359399445,-1.4877014209338788,4.440207730300214,1.8667747245416129,1.5947235703886253,-1.0612987716602522,-1.0515174532521017
No. 1_L_1.5 _200 _02-18-2025/0044.png,-3.1289174784411777,3.728569848988074,-1.1904632398315318,-3.0394930235927333,-1.5257519494521108,4.419915600707263,1.9595766381098332,1.600752371099846,-1.1305184204321221,-1.1218320462302587
No. 1_L_1.5 _200 _02-18-2025/0045.png,-3.1365661059234915,3.593139286113659,-1.1703165305898064,-3.02031748829621,-1.5900827762317546,4.469489825360972,1.9350581937236844,1.6445934158080675,-1.1533781986482865,-1.220932935041077
No. 1_L_1.5 _200 _02-18-2025/0046.png,-3.1972588121439163,3.55090172896566,-1.207637079005126,-2.890891426123777,-1.4826712747109885,4.246262589538382,1.9904901928412002,1.4507086633096478,-1.002300986118972,-1.0832278866883889
No. 1_L_1.5 _200 _02-18-2025/0047.png,-3.024488598595794,3.653103860367385,-1.2019259302142729,-3.0821536921749324,-1.626272151482833,4.310997971142763,1.8921461252063858,1.4861573452881451,-1.1210154529226235,-0.9950213554030038
